Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,RMSE,CRMSE,BIAS,Rs,pval
2014-06-20 12:00:00,1,2017-07-06 12:00:00,2017-05-03 12:00:00,2017-07-16 12:00:00,2017-06-18 12:00:00,2015-08-17 12:00:00,40.3362579543205,30.0926710970242,-26.8597254640439,0.998611432538764,1.84E-60
2014-06-21 12:00:00,2,2014-06-02 12:00:00,2015-06-25 12:00:00,2014-05-30 12:00:00,2017-06-28 12:00:00,2017-07-04 12:00:00,10.6669364249233,10.425073335245,-2.25862317532597,0.999884286044897,2.81E-85
2014-06-22 12:00:00,2,2017-08-14 12:00:00,2014-06-12 12:00:00,2014-06-23 12:00:00,2014-06-14 12:00:00,2017-08-20 12:00:00,27.5764606415616,25.0134826687549,-11.609774601408,0.999305716269382,2.21E-67
2014-06-23 12:00:00,2,2014-06-12 12:00:00,2014-06-29 12:00:00,2014-06-22 12:00:00,2017-08-14 12:00:00,2017-06-29 12:00:00,50.8315666923128,48.6915400294184,14.5939063296497,0.99884286044897,2.78E-62
2014-06-24 12:00:00,2,2014-05-18 12:00:00,2015-06-20 12:00:00,2014-06-03 12:00:00,2016-06-08 12:00:00,2017-06-07 12:00:00,76.4757860373056,64.7858852844135,-40.6366204049815,0.993751446424439,1.85E-45
2014-06-25 12:00:00,2,2014-06-26 12:00:00,2014-06-23 12:00:00,2016-07-12 12:00:00,2014-06-29 12:00:00,2016-07-06 12:00:00,31.8388723206533,31.469019835476,4.83886156500495,0.99892961536868,4.64E-63
2014-06-26 12:00:00,2,2014-06-25 12:00:00,2017-08-19 12:00:00,2015-07-16 12:00:00,2014-06-29 12:00:00,2017-08-20 12:00:00,57.0767867885201,56.7347884429543,-6.2388597063408,0.994445410447808,1.24E-46
2014-06-27 12:00:00,2,2017-09-20 12:00:00,2015-08-08 12:00:00,2016-05-20 12:00:00,2017-09-19 12:00:00,2014-06-26 12:00:00,64.3957794620818,64.0392669605498,-6.76673478751019,0.984147188150891,3.32E-36
2014-06-28 12:00:00,1,2014-05-26 12:00:00,2015-09-03 12:00:00,2017-06-01 12:00:00,2017-07-12 12:00:00,2017-09-09 12:00:00,63.7518928459035,59.4121458651198,-23.119272591007,0.997222865077528,1.52E-53
2014-06-29 12:00:00,2,2014-05-27 12:00:00,2014-06-23 12:00:00,2017-07-01 12:00:00,2017-08-19 12:00:00,2017-08-13 12:00:00,38.7031342792466,34.8369781133997,-16.8617187428775,0.998958574404073,2.47E-63
2014-06-30 12:00:00,0,2014-05-01 12:00:00,2016-09-29 12:00:00,2016-09-28 12:00:00,2016-09-27 12:00:00,2016-09-26 12:00:00,113.244763004014,110.724478646537,23.7584969282091,0.973754461318264,3.23E-31
2014-07-01 12:00:00,2,2016-09-11 12:00:00,2015-07-03 12:00:00,2017-05-04 12:00:00,2016-07-13 12:00:00,2016-06-23 12:00:00,65.1162209096946,59.9388620304823,25.4451379255637,0.99768572089794,2.31E-55
2014-07-02 12:00:00,2,2017-08-13 12:00:00,2015-08-01 12:00:00,2014-07-03 12:00:00,2017-08-26 12:00:00,2016-09-02 12:00:00,49.6819289581217,49.3412333164211,5.80833537378413,0.998380004628558,6.36E-59
2014-07-03 12:00:00,2,2017-08-13 12:00:00,2014-07-02 12:00:00,2015-08-01 12:00:00,2017-08-26 12:00:00,2016-07-14 12:00:00,57.040396663286,50.5582699230426,-26.409623130476,0.998148576718352,1.37E-57
2014-07-04 12:00:00,1,2017-07-06 12:00:00,2015-08-17 12:00:00,2017-07-16 12:00:00,2017-06-18 12:00:00,2017-07-17 12:00:00,39.8766802561912,30.3762803303329,-25.8346902738843,0.997917148808146,2.05E-56
2014-07-05 12:00:00,0,2014-09-26 12:00:00,2014-07-29 12:00:00,2015-06-28 12:00:00,2015-08-13 12:00:00,2015-06-09 12:00:00,90.2438230184933,70.2983886904198,-56.5869608701846,0.994214302244851,3.16E-46
2014-07-06 12:00:00,0,2015-07-18 12:00:00,2014-09-25 12:00:00,2015-08-27 12:00:00,2015-08-15 12:00:00,2014-08-17 12:00:00,81.6170762652765,64.6838924310982,-49.7728962192686,0.994255687737812,2.68E-46
2014-07-07 12:00:00,1,2014-08-22 12:00:00,2017-07-20 12:00:00,2016-08-01 12:00:00,2017-07-18 12:00:00,2015-09-17 12:00:00,16.5328355896372,13.1399640502354,-10.0337429403237,0.994255687737812,2.68E-46
2014-07-08 12:00:00,2,2017-08-22 12:00:00,2017-08-08 12:00:00,2014-08-30 12:00:00,2014-08-11 12:00:00,2017-08-10 12:00:00,44.9004629177843,38.38804032297,-23.2896957986435,0.993324845666203,8.39E-45
2014-07-09 12:00:00,2,2017-08-13 12:00:00,2015-08-02 12:00:00,2016-08-25 12:00:00,2015-08-01 12:00:00,2015-08-03 12:00:00,77.2992304028349,67.1290391840164,-38.325750078783,0.989485122120814,2.79E-40
2014-07-10 12:00:00,2,2015-08-07 12:00:00,2016-08-07 12:00:00,2017-08-14 12:00:00,2016-07-16 12:00:00,2017-08-13 12:00:00,38.5217517308804,33.7351331885029,-18.5974768495503,0.998946998946999,3.18E-63
2014-07-11 12:00:00,2,2014-08-09 12:00:00,2014-08-13 12:00:00,2017-07-28 12:00:00,2014-09-03 12:00:00,2017-08-21 12:00:00,53.6869164111905,52.2449811987798,-12.3590830275269,0.997893997893998,2.64E-56
2014-07-12 12:00:00,1,2014-09-18 12:00:00,2016-08-01 12:00:00,2014-07-19 12:00:00,2017-07-18 12:00:00,2017-07-29 12:00:00,51.5873913912961,47.9218106909128,-19.0986651539602,0.991579516781935,1.72E-42
2014-07-13 12:00:00,1,2016-07-19 12:00:00,2017-07-18 12:00:00,2016-08-13 12:00:00,2014-09-18 12:00:00,2017-07-16 12:00:00,23.5145559773739,18.777192327524,-14.1545537233861,0.992480892611725,1.29E-43
2014-07-14 12:00:00,2,2017-07-23 12:00:00,2014-08-12 12:00:00,2015-07-30 12:00:00,2015-08-26 12:00:00,2014-07-15 12:00:00,191.877101411011,160.606547268734,104.987423153001,0.991986116856536,5.54E-43
2014-07-15 12:00:00,2,2017-07-13 12:00:00,2017-07-23 12:00:00,2017-07-11 12:00:00,2016-08-12 12:00:00,2017-08-06 12:00:00,370.686529557837,283.692396011326,238.594064555232,0.971878261339711,1.55E-30
